DATA: 4410 x 13
Ep!
Feature 0
-0.243329	rho[0][11]
-0.239853	rho[0][3]
0.232381	rho[0][2]
-0.202781	rho[0][1]
0.187417	rho[0][10]
0.174462	rho[0][12]
-0.168927	rho[0][9]
0.134356	rho[0][4]
-0.0984292	rho[0][5]
0.07137	rho[0][7]
0.0675758	rho[0][8]
0.0672333	rho[0][6]

Feature 1
-0.829527	rho[1][2]
0.789049	rho[1][3]
-0.588573	rho[1][4]
0.50114	rho[1][5]
0.283707	rho[1][11]
-0.202781	rho[1][0]
0.158439	rho[1][9]
0.152112	rho[1][7]
-0.134043	rho[1][6]
0.0963839	rho[1][12]
0.0554949	rho[1][8]
-0.00232633	rho[1][10]

Feature 2
-0.870707	rho[2][3]
-0.829527	rho[2][1]
0.809147	rho[2][4]
-0.632005	rho[2][5]
0.299441	rho[2][6]
0.232381	rho[2][0]
-0.172066	rho[2][7]
-0.120773	rho[2][10]
-0.0928925	rho[2][12]
-0.0719408	rho[2][8]
-0.0362703	rho[2][11]
0.024095	rho[2][9]

Feature 3
-0.875443	rho[3][4]
-0.870707	rho[3][2]
0.789317	rho[3][5]
0.789049	rho[3][1]
-0.468986	rho[3][6]
0.26626	rho[3][10]
0.26368	rho[3][7]
-0.239853	rho[3][0]
0.1565	rho[3][12]
0.0873089	rho[3][8]
-0.0869877	rho[3][9]
0.00794328	rho[3][11]

Feature 4
-0.907421	rho[4][5]
-0.875443	rho[4][3]
0.809147	rho[4][2]
0.668095	rho[4][6]
-0.588573	rho[4][1]
-0.413922	rho[4][7]
-0.346822	rho[4][10]
0.209494	rho[4][11]
0.194782	rho[4][9]
-0.189882	rho[4][12]
0.134356	rho[4][0]
0.00999438	rho[4][8]

Feature 5
-0.907421	rho[5][4]
-0.82764	rho[5][6]
0.789317	rho[5][3]
-0.632005	rho[5][2]
0.608962	rho[5][7]
0.50114	rho[5][1]
0.335778	rho[5][10]
0.274215	rho[5][12]
-0.213916	rho[5][11]
-0.155023	rho[5][8]
-0.103367	rho[5][9]
-0.0984292	rho[5][0]

Feature 6
-0.82764	rho[6][5]
-0.800146	rho[6][7]
0.668095	rho[6][4]
-0.468986	rho[6][3]
0.451116	rho[6][8]
0.299441	rho[6][2]
0.22795	rho[6][11]
-0.20291	rho[6][12]
-0.189699	rho[6][10]
-0.134043	rho[6][1]
0.0672333	rho[6][0]
-0.053923	rho[6][9]

Feature 7
-0.800146	rho[7][6]
-0.745817	rho[7][8]
0.608962	rho[7][5]
0.416654	rho[7][9]
-0.413922	rho[7][4]
0.26368	rho[7][3]
-0.172066	rho[7][2]
0.160221	rho[7][12]
0.152112	rho[7][1]
-0.106714	rho[7][10]
0.07137	rho[7][0]
-0.0162415	rho[7][11]

Feature 8
-0.763979	rho[8][9]
-0.745817	rho[8][7]
0.568521	rho[8][10]
0.451116	rho[8][6]
-0.245989	rho[8][11]
-0.155023	rho[8][5]
0.0887209	rho[8][12]
0.0873089	rho[8][3]
-0.0719408	rho[8][2]
0.0675758	rho[8][0]
0.0554949	rho[8][1]
0.00999438	rho[8][4]

Feature 9
-0.84286	rho[9][10]
-0.763979	rho[9][8]
0.677132	rho[9][11]
0.416654	rho[9][7]
-0.258598	rho[9][12]
0.194782	rho[9][4]
-0.168927	rho[9][0]
0.158439	rho[9][1]
-0.103367	rho[9][5]
-0.0869877	rho[9][3]
-0.053923	rho[9][6]
0.024095	rho[9][2]

Feature 10
-0.84286	rho[10][9]
-0.761327	rho[10][11]
0.568521	rho[10][8]
0.529472	rho[10][12]
-0.346822	rho[10][4]
0.335778	rho[10][5]
0.26626	rho[10][3]
-0.189699	rho[10][6]
0.187417	rho[10][0]
-0.120773	rho[10][2]
-0.106714	rho[10][7]
-0.00232633	rho[10][1]

Feature 11
-0.761327	rho[11][10]
0.677132	rho[11][9]
-0.545422	rho[11][12]
0.283707	rho[11][1]
-0.245989	rho[11][8]
-0.243329	rho[11][0]
0.22795	rho[11][6]
-0.213916	rho[11][5]
0.209494	rho[11][4]
-0.0362703	rho[11][2]
-0.0162415	rho[11][7]
0.00794328	rho[11][3]

Feature 12
-0.545422	rho[12][11]
0.529472	rho[12][10]
0.274215	rho[12][5]
-0.258598	rho[12][9]
-0.20291	rho[12][6]
-0.189882	rho[12][4]
0.174462	rho[12][0]
0.160221	rho[12][7]
0.1565	rho[12][3]
0.0963839	rho[12][1]
-0.0928925	rho[12][2]
0.0887209	rho[12][8]

