DATA: 4410 x 13
Ep!
Feature 0
-0.503919	rho[0][8]
-0.37605	rho[0][5]
0.268029	rho[0][1]
-0.227453	rho[0][9]
-0.218922	rho[0][7]
0.124525	rho[0][3]
0.109616	rho[0][12]
-0.0791289	rho[0][10]
-0.0568911	rho[0][4]
-0.0466389	rho[0][11]
-0.0349459	rho[0][6]
0.00331667	rho[0][2]

Feature 1
-0.448667	rho[1][9]
-0.39194	rho[1][5]
0.328297	rho[1][6]
0.268029	rho[1][0]
-0.197249	rho[1][8]
0.194273	rho[1][7]
0.175867	rho[1][3]
0.158474	rho[1][10]
-0.0801494	rho[1][11]
-0.0452417	rho[1][4]
0.0297573	rho[1][2]
0.00675139	rho[1][12]

Feature 2
-0.271972	rho[2][12]
-0.244016	rho[2][10]
0.177392	rho[2][3]
0.142039	rho[2][7]
0.0756611	rho[2][6]
-0.0723005	rho[2][8]
-0.0630095	rho[2][11]
0.0479485	rho[2][5]
0.0312878	rho[2][4]
0.0297573	rho[2][1]
-0.0184401	rho[2][9]
0.00331667	rho[2][0]

Feature 3
0.433254	rho[3][4]
-0.347408	rho[3][11]
-0.322158	rho[3][12]
-0.201592	rho[3][9]
0.177392	rho[3][2]
0.175867	rho[3][1]
0.139616	rho[3][6]
-0.135004	rho[3][10]
0.124525	rho[3][0]
0.0852457	rho[3][7]
0.0723751	rho[3][8]
-0.0303313	rho[3][5]

Feature 4
0.433254	rho[4][3]
-0.376883	rho[4][12]
0.148887	rho[4][5]
-0.128659	rho[4][11]
0.127644	rho[4][9]
-0.12732	rho[4][10]
-0.0822287	rho[4][6]
-0.077681	rho[4][7]
-0.0568911	rho[4][0]
-0.0452417	rho[4][1]
0.0312878	rho[4][2]
0.00777347	rho[4][8]

Feature 5
-0.39194	rho[5][1]
-0.37605	rho[5][0]
-0.187426	rho[5][7]
0.181798	rho[5][8]
0.148887	rho[5][4]
0.144785	rho[5][9]
-0.104609	rho[5][6]
-0.0834219	rho[5][11]
0.0479485	rho[5][2]
0.033528	rho[5][10]
-0.0303313	rho[5][3]
0.00703656	rho[5][12]

Feature 6
0.328297	rho[6][1]
-0.251106	rho[6][9]
0.206334	rho[6][7]
0.139616	rho[6][3]
-0.134004	rho[6][8]
-0.104609	rho[6][5]
-0.0822287	rho[6][4]
0.0756611	rho[6][2]
0.070508	rho[6][11]
-0.0644328	rho[6][10]
-0.0349459	rho[6][0]
0.0223026	rho[6][12]

Feature 7
-0.362004	rho[7][9]
-0.218922	rho[7][0]
0.211488	rho[7][8]
0.206334	rho[7][6]
0.194273	rho[7][1]
-0.187426	rho[7][5]
-0.18404	rho[7][12]
0.142039	rho[7][2]
0.0852457	rho[7][3]
-0.077681	rho[7][4]
0.0329977	rho[7][11]
0.0158922	rho[7][10]

Feature 8
-0.503919	rho[8][0]
-0.245615	rho[8][10]
0.211488	rho[8][7]
-0.197249	rho[8][1]
0.181798	rho[8][5]
-0.134004	rho[8][6]
0.101883	rho[8][9]
-0.0956716	rho[8][12]
0.0723751	rho[8][3]
-0.0723005	rho[8][2]
0.0520532	rho[8][11]
0.00777347	rho[8][4]

Feature 9
-0.448667	rho[9][1]
-0.362004	rho[9][7]
-0.251106	rho[9][6]
-0.227453	rho[9][0]
-0.201592	rho[9][3]
0.144785	rho[9][5]
0.127644	rho[9][4]
0.11194	rho[9][12]
0.101883	rho[9][8]
-0.0726426	rho[9][11]
-0.0184401	rho[9][2]
-0.00789916	rho[9][10]

Feature 10
-0.245615	rho[10][8]
-0.244016	rho[10][2]
0.158474	rho[10][1]
0.150596	rho[10][11]
-0.135004	rho[10][3]
-0.12732	rho[10][4]
-0.0791289	rho[10][0]
-0.0644328	rho[10][6]
-0.0548839	rho[10][12]
0.033528	rho[10][5]
0.0158922	rho[10][7]
-0.00789916	rho[10][9]

Feature 11
-0.347408	rho[11][3]
0.181857	rho[11][12]
0.150596	rho[11][10]
-0.128659	rho[11][4]
-0.0834219	rho[11][5]
-0.0801494	rho[11][1]
-0.0726426	rho[11][9]
0.070508	rho[11][6]
-0.0630095	rho[11][2]
0.0520532	rho[11][8]
-0.0466389	rho[11][0]
0.0329977	rho[11][7]

Feature 12
-0.376883	rho[12][4]
-0.322158	rho[12][3]
-0.271972	rho[12][2]
-0.18404	rho[12][7]
0.181857	rho[12][11]
0.11194	rho[12][9]
0.109616	rho[12][0]
-0.0956716	rho[12][8]
-0.0548839	rho[12][10]
0.0223026	rho[12][6]
0.00703656	rho[12][5]
0.00675139	rho[12][1]

