DATA: 5885 x 13
Ep!
Feature 0
-0.340227	rho[0][8]
-0.326317	rho[0][5]
-0.291502	rho[0][3]
-0.27983	rho[0][9]
-0.248211	rho[0][4]
-0.22521	rho[0][10]
-0.146643	rho[0][6]
-0.114394	rho[0][11]
-0.107491	rho[0][7]
-0.0742347	rho[0][12]
0.0508471	rho[0][2]
0.0411413	rho[0][1]

Feature 1
-0.378607	rho[1][4]
0.342575	rho[1][2]
-0.299962	rho[1][6]
-0.294457	rho[1][5]
-0.208303	rho[1][11]
-0.199846	rho[1][3]
0.0996623	rho[1][10]
0.0411413	rho[1][0]
-0.0248537	rho[1][7]
-0.0232399	rho[1][8]
-0.0140753	rho[1][9]
-0.00762353	rho[1][12]

Feature 2
-0.353376	rho[2][4]
0.342575	rho[2][1]
-0.318085	rho[2][6]
-0.142081	rho[2][5]
0.13378	rho[2][10]
-0.0724079	rho[2][12]
0.0563697	rho[2][3]
0.0508471	rho[2][0]
0.0482534	rho[2][9]
-0.0341802	rho[2][7]
-0.0281832	rho[2][11]
-0.0205142	rho[2][8]

Feature 3
-0.291502	rho[3][0]
-0.199846	rho[3][1]
0.164814	rho[3][11]
0.134311	rho[3][10]
-0.119917	rho[3][7]
0.118167	rho[3][8]
0.105277	rho[3][4]
0.0977219	rho[3][5]
0.0563697	rho[3][2]
0.044926	rho[3][12]
0.0440784	rho[3][9]
0.00630406	rho[3][6]

Feature 4
-0.378607	rho[4][1]
-0.353376	rho[4][2]
-0.248211	rho[4][0]
0.184701	rho[4][11]
0.133189	rho[4][6]
-0.111652	rho[4][10]
0.105277	rho[4][3]
0.0761473	rho[4][9]
-0.0590031	rho[4][8]
0.051807	rho[4][7]
0.0293559	rho[4][12]
-0.0228918	rho[4][5]

Feature 5
-0.326317	rho[5][0]
-0.294457	rho[5][1]
0.198527	rho[5][8]
0.161545	rho[5][6]
-0.142081	rho[5][2]
0.128575	rho[5][7]
0.0977219	rho[5][3]
-0.0901012	rho[5][9]
-0.066654	rho[5][11]
0.0319885	rho[5][12]
0.0298749	rho[5][10]
-0.0228918	rho[5][4]

Feature 6
-0.318085	rho[6][2]
-0.299962	rho[6][1]
-0.234755	rho[6][10]
0.161545	rho[6][5]
-0.146643	rho[6][0]
0.133189	rho[6][4]
-0.103624	rho[6][7]
-0.0838874	rho[6][8]
0.0753835	rho[6][11]
-0.0487978	rho[6][12]
-0.0227098	rho[6][9]
0.00630406	rho[6][3]

Feature 7
-0.186525	rho[7][11]
-0.15804	rho[7][9]
0.128575	rho[7][5]
-0.119917	rho[7][3]
-0.107491	rho[7][0]
-0.103624	rho[7][6]
-0.0635229	rho[7][12]
0.051807	rho[7][4]
-0.0341802	rho[7][2]
-0.0248537	rho[7][1]
0.00891212	rho[7][8]
-0.00470462	rho[7][10]

Feature 8
-0.340227	rho[8][0]
0.198527	rho[8][5]
0.118167	rho[8][3]
-0.110893	rho[8][12]
-0.107109	rho[8][11]
-0.0838874	rho[8][6]
0.0716666	rho[8][10]
-0.0590031	rho[8][4]
-0.0587729	rho[8][9]
-0.0232399	rho[8][1]
-0.0205142	rho[8][2]
0.00891212	rho[8][7]

Feature 9
-0.27983	rho[9][0]
-0.15804	rho[9][7]
-0.0901012	rho[9][5]
0.0761473	rho[9][4]
-0.0587729	rho[9][8]
0.0482534	rho[9][2]
0.0440784	rho[9][3]
0.0427115	rho[9][11]
0.0235887	rho[9][10]
-0.0227098	rho[9][6]
0.0220282	rho[9][12]
-0.0140753	rho[9][1]

Feature 10
-0.234755	rho[10][6]
-0.22521	rho[10][0]
0.134311	rho[10][3]
0.13378	rho[10][2]
-0.111652	rho[10][4]
0.0996623	rho[10][1]
-0.0738586	rho[10][11]
0.0716666	rho[10][8]
0.0298749	rho[10][5]
0.0237483	rho[10][12]
0.0235887	rho[10][9]
-0.00470462	rho[10][7]

Feature 11
-0.208303	rho[11][1]
-0.186525	rho[11][7]
0.184701	rho[11][4]
0.164814	rho[11][3]
-0.114394	rho[11][0]
-0.107109	rho[11][8]
0.0753835	rho[11][6]
-0.0738586	rho[11][10]
-0.066654	rho[11][5]
0.0427115	rho[11][9]
-0.0281832	rho[11][2]
0.023377	rho[11][12]

Feature 12
-0.110893	rho[12][8]
-0.0742347	rho[12][0]
-0.0724079	rho[12][2]
-0.0635229	rho[12][7]
-0.0487978	rho[12][6]
0.044926	rho[12][3]
0.0319885	rho[12][5]
0.0293559	rho[12][4]
0.0237483	rho[12][10]
0.023377	rho[12][11]
0.0220282	rho[12][9]
-0.00762353	rho[12][1]

